Date,Open,High,Low,Close,Volume,Adj Close
2008-06-12,78.95,80.77,78.55,79.56,11151400,76.28
2008-06-11,81.00,81.00,77.60,77.74,14249100,74.54
2008-06-10,80.30,82.87,79.61,80.31,9012100,77.00
2008-06-09,84.00,84.95,80.56,82.14,11310000,78.76
2008-06-06,85.90,85.99,83.55,83.65,10437000,80.21
2008-06-05,86.46,87.24,85.59,87.24,6764900,83.65
2008-06-04,87.08,88.10,85.28,85.48,10171100,81.96
2008-06-03,87.01,87.95,86.03,87.56,12102900,83.96
2008-06-02,86.21,86.95,84.60,86.07,9214000,82.53
2008-05-30,86.02,87.56,85.81,86.36,18004000,82.80
2008-05-29,83.43,86.95,83.01,85.25,25153300,81.74
2008-05-28,80.29,81.95,79.55,81.92,13249000,78.55
2008-05-27,76.92,78.94,74.36,78.74,15694100,75.50
2008-05-23,75.84,77.31,75.12,76.35,10549100,73.21
2008-05-22,80.57,80.60,76.16,77.31,21320900,74.13
2008-05-21,82.68,83.43,80.52,80.85,10457900,77.52
2008-05-20,82.88,83.84,81.91,82.74,10175500,79.33
2008-05-19,82.27,84.74,82.15,83.32,11368300,79.89
2008-05-16,82.71,82.85,81.26,82.37,8516700,78.98
2008-05-15,82.53,82.93,81.11,82.25,9172200,78.86
2008-05-14,83.30,84.35,81.45,82.23,12850100,78.84
2008-05-13,81.83,83.50,80.79,82.38,13312400,78.99
2008-05-12,83.65,84.48,78.10,81.90,36867900,78.53
2008-05-09,85.81,86.67,82.52,82.86,23578000,79.45
2008-05-08,89.50,89.75,85.94,87.30,23209100,83.71
2008-05-07,88.83,89.84,87.66,88.50,25116200,84.86
2008-05-06,85.47,88.15,84.75,87.53,18978300,83.93
2008-05-05,82.85,85.50,80.82,85.06,17594300,81.56
2008-05-02,87.29,87.50,81.00,82.75,34162200,79.34
2008-05-01,84.39,87.64,83.90,85.40,29098900,81.88
2008-04-30,81.40,84.81,81.07,83.45,36885900,80.01
2008-04-29,74.15,80.88,71.00,80.88,49327100,77.55
2008-04-28,76.50,77.29,74.90,75.63,33129300,72.52
2008-04-25,76.00,76.08,73.91,75.10,25365000,72.01
2008-04-24,71.20,72.99,70.04,72.30,9521700,69.32
2008-04-23,70.95,71.70,69.69,70.08,9329900,67.20
2008-04-22,71.92,72.40,70.00,70.28,11839400,67.39
2008-04-21,69.48,72.50,68.85,70.97,14712000,68.05
2008-04-18,68.01,70.45,67.20,69.00,26024900,66.16
2008-04-17,66.26,67.75,66.01,67.04,5614900,64.28
2008-04-16,64.56,66.95,64.56,66.14,6284200,63.42
2008-04-15,66.29,66.55,64.00,64.35,5972000,61.70
2008-04-14,66.70,67.24,65.53,65.68,7110900,62.98
2008-04-11,65.25,66.77,65.25,66.11,6605400,63.39
2008-04-10,66.16,66.73,65.11,66.11,5593000,63.39
2008-04-09,68.44,68.72,65.61,65.79,12081100,63.08
2008-04-08,64.90,68.24,64.81,68.09,13481400,65.29
2008-04-07,65.10,65.80,64.02,65.04,7075400,62.36
2008-04-04,64.90,65.32,63.75,64.48,9098600,61.83
2008-04-03,61.95,66.29,61.82,65.50,25217000,62.80
2008-04-02,61.72,62.32,60.50,62.32,10959100,59.75
2008-04-01,63.06,63.68,60.31,61.61,15102700,59.07
2008-03-31,62.60,63.48,62.05,62.36,5539300,59.79
2008-03-28,63.37,63.44,62.16,62.76,6168800,60.18
2008-03-27,64.05,64.74,62.65,62.91,9957400,60.32
2008-03-26,62.73,64.48,61.57,63.96,10777900,61.33
2008-03-25,60.58,64.25,59.82,63.25,21773000,60.65
2008-03-24,67.24,67.70,59.00,59.73,37391600,57.27
2008-03-20,58.40,65.00,57.50,64.35,49746300,61.70
2008-03-19,59.50,69.00,55.00,56.50,177121500,54.17
